lp_f
----------------
line no, output 1
401, -1.79999
402, -1.81201
403, -1.82399
404, -1.83601
405, -1.84799
406, -1.86001
407, -1.87199
408, -1.88399
409, -1.89601
410, -1.90799
411, -1.92001
412, -1.93199
413, -1.94401
414, -1.95599
415, -1.96799
416, -1.98001
417, -1.99199
418, -2.00401
419, -2.01599
420, -2.02801
421, -2.03999
422, -2.05199
423, -2.06401
424, -2.07599
425, -2.08801
426, -2.09999
427, -2.11201
428, -2.12399
429, -2.13599
430, -2.14801
431, -2.15999
432, -2.17201
433, -2.18399
434, -2.19601
435, -2.20799
436, -2.21999
437, -2.23201
438, -2.24399
439, -2.25601
440, -2.26799
441, -2.28001
442, -2.29199
443, -2.30399
444, -2.31601
445, -2.32799
446, -2.34001
447, -2.35199
448, -2.36401
449, -2.37599
450, -2.38799
451, -2.40001
452, -2.41199
453, -2.42401
454, -2.43599
455, -2.44801
456, -2.46
457, -2.472
458, -2.48401
459, -2.496
460, -2.50801
461, -2.52
462, -2.53201
463, -2.544
464, -2.556
465, -2.56801
466, -2.58
467, -2.592
468, -2.604
469, -2.616
470, -2.628
471, -2.64
472, -2.652
473, -2.664
474, -2.676
475, -2.688
476, -2.7
477, -2.712
478, -2.724
479, -2.736
480, -2.748
481, -2.76
482, -2.772
483, -2.784
484, -2.796
485, -2.808
486, -2.82
487, -2.832
488, -2.844
489, -2.856
490, -2.868
491, -2.88
492, -2.892
493, -2.904
494, -2.916
495, -2.928
496, -2.94
497, -2.952
498, -2.964
499, -2.976
500, -2.988
501, -2.988
502, -2.988
503, -2.976
504, -2.964
505, -2.952
506, -2.94
507, -2.928
508, -2.916
509, -2.904
510, -2.892
511, -2.88
512, -2.868
513, -2.856
514, -2.844
515, -2.832
516, -2.82
517, -2.808
518, -2.796
519, -2.784
520, -2.772
521, -2.76
522, -2.748
523, -2.736
524, -2.724
525, -2.712
526, -2.7
527, -2.688
528, -2.676
529, -2.664
530, -2.652
531, -2.64
532, -2.628
533, -2.616
534, -2.604
535, -2.59201
536, -2.58
537, -2.568
538, -2.556
539, -2.544
540, -2.53201
541, -2.52
542, -2.50801
543, -2.496
544, -2.48401
545, -2.472
546, -2.45999
547, -2.44801
548, -2.43599
549, -2.42401
550, -2.41199
551, -2.40001
552, -2.388
553, -2.37599
554, -2.36401
555, -2.35199
556, -2.34001
557, -2.32799
558, -2.31601
559, -2.30399
560, -2.29199
561, -2.28001
562, -2.26799
563, -2.25601
564, -2.24399
565, -2.23201
566, -2.21999
567, -2.20799
568, -2.19601
569, -2.18399
570, -2.17201
571, -2.15999
572, -2.14801
573, -2.13599
574, -2.12399
575, -2.11201
576, -2.09999
577, -2.08801
578, -2.07599
579, -2.06401
580, -2.05199
581, -2.03999
582, -2.02801
583, -2.01599
584, -2.00401
585, -1.99199
586, -1.98001
587, -1.96799
588, -1.95599
589, -1.94401
590, -1.93199
591, -1.92001
592, -1.90799
593, -1.89601
594, -1.88399
595, -1.87199
596, -1.86001
597, -1.84799
598, -1.83601
599, -1.82399
600, -1.81201
601, -1.79999
602, -1.78799
603, -1.77601
604, -1.76399
605, -1.75202
606, -1.73999
607, -1.72802
608, -1.71599
609, -1.704
610, -1.692
611, -1.68
612, -1.66799
613, -1.656
614, -1.644
615, -1.632
616, -1.62
617, -1.608
618, -1.596
619, -1.58399
620, -1.572
621, -1.56
622, -1.548
623, -1.536
624, -1.524
625, -1.512
626, -1.49999
627, -1.488
628, -1.476
629, -1.464
630, -1.452
631, -1.44
632, -1.428
633, -1.41599
634, -1.404
635, -1.392
636, -1.38
637, -1.368
638, -1.356
639, -1.344
640, -1.33198
641, -1.32
642, -1.308
643, -1.296
644, -1.284
645, -1.272
646, -1.26
647, -1.24798
648, -1.236
649, -1.224
650, -1.212
651, -1.2
652, -1.188
653, -1.176
654, -1.16398
655, -1.152
656, -1.14
657, -1.128
