lp_e
----------------
line no, output 1
456, -0.09
457, -0.088
458, -0.086
459, -0.084
460, -0.082
461, -0.08
462, -0.078
463, -0.076
464, -0.074
465, -0.072
466, -0.07
467, -0.068
468, -0.066
469, -0.064
470, -0.062
471, -0.06
472, -0.058
473, -0.056
474, -0.054
475, -0.052
476, -0.05
477, -0.048
478, -0.046
479, -0.044
480, -0.042
481, -0.04
482, -0.038
483, -0.036
484, -0.034
485, -0.032
486, -0.03
487, -0.028
488, -0.026
489, -0.024
490, -0.022
491, -0.02
492, -0.018
493, -0.016
494, -0.014
495, -0.012
496, -0.01
497, -0.008
498, -0.00599999
499, -0.00400001
500, -0.002
501, 2.98023e-09
502, 0.00200001
503, 0.004
504, 0.006
505, 0.008
506, 0.00999999
507, 0.012
508, 0.014
509, 0.016
510, 0.018
511, 0.02
512, 0.022
513, 0.024
514, 0.026
515, 0.028
516, 0.03
517, 0.032
518, 0.034
519, 0.036
520, 0.038
521, 0.04
522, 0.042
523, 0.044
524, 0.046
525, 0.048
526, 0.05
527, 0.052
528, 0.054
529, 0.056
530, 0.058
531, 0.06
532, 0.062
533, 0.064
534, 0.066
535, 0.068
536, 0.07
537, 0.072
538, 0.074
539, 0.076
540, 0.078
541, 0.08
542, 0.082
543, 0.084
544, 0.086
545, 0.088
546, 0.09
547, 0.092
548, 0.094
549, 0.096
550, 0.098
551, 0.1
552, 0.102
553, 0.104
554, 0.106
555, 0.108
556, 0.11
557, 0.112
558, 0.114
559, 0.116
560, 0.118
561, 0.12
562, 0.122
563, 0.124
564, 0.126
565, 0.128
566, 0.13
567, 0.132
568, 0.134
569, 0.136
570, 0.138
571, 0.14
572, 0.142
573, 0.144
574, 0.146
575, 0.148
576, 0.15
577, 0.152
578, 0.154
579, 0.156
580, 0.158
581, 0.16
582, 0.162
583, 0.164
584, 0.166
585, 0.168
586, 0.17
587, 0.172
588, 0.174
589, 0.176
590, 0.178
591, 0.18
592, 0.182
593, 0.184
594, 0.186
595, 0.188
596, 0.19
597, 0.192
598, 0.194
599, 0.196
600, 0.198
601, 0.2
602, 0.202
603, 0.204
604, 0.206
605, 0.208
606, 0.21
607, 0.212
608, 0.214
609, 0.216
610, 0.218
611, 0.22
612, 0.222
613, 0.224
614, 0.226
615, 0.228
616, 0.23
617, 0.232
618, 0.234
619, 0.236
620, 0.238
621, 0.24
622, 0.242
623, 0.244
624, 0.246
625, 0.248
626, 0.25
627, 0.252
628, 0.254
629, 0.256
630, 0.258
631, 0.26
632, 0.262
633, 0.264
634, 0.266
635, 0.268
636, 0.27
637, 0.272
638, 0.274
639, 0.276
640, 0.278
641, 0.28
642, 0.282
643, 0.284
644, 0.286
645, 0.288
646, 0.29
647, 0.292
648, 0.294
649, 0.296
650, 0.298
651, 0.3
652, 0.302
653, 0.304
654, 0.306
655, 0.308
656, 0.31
657, 0.312
658, 0.314
659, 0.316
660, 0.318
661, 0.32
662, 0.322
663, 0.324
664, 0.326
665, 0.328
666, 0.33
667, 0.332
668, 0.334
669, 0.336
670, 0.338
671, 0.34
672, 0.342
673, 0.344
674, 0.346
675, 0.348
676, 0.35
677, 0.352
678, 0.354
679, 0.356
680, 0.358
681, 0.36
682, 0.362
683, 0.364
684, 0.366
685, 0.368
686, 0.37
687, 0.372
688, 0.374
689, 0.376
690, 0.378
691, 0.38
692, 0.382
693, 0.384
694, 0.386
695, 0.388
696, 0.39
697, 0.392
698, 0.394
699, 0.396
700, 0.398
701, 0.4
702, 0.402
703, 0.404
704, 0.406
705, 0.408
706, 0.41
707, 0.412
708, 0.414
709, 0.416
710, 0.418
711, 0.42
712, 0.422
713, 0.424
714, 0.426
715, 0.428
716, 0.43
717, 0.432
718, 0.434
719, 0.436
720, 0.438
721, 0.44
722, 0.442
723, 0.444
724, 0.446
725, 0.448
726, 0.45
727, 0.452
728, 0.454
729, 0.456
730, 0.458
731, 0.46
732, 0.462
733, 0.464
734, 0.466
735, 0.468
736, 0.47
737, 0.472
738, 0.474
739, 0.476
740, 0.478
741, 0.48
742, 0.482
743, 0.484
744, 0.486
745, 0.488
746, 0.49
747, 0.492
748, 0.494
749, 0.496
750, 0.498
751, 0.5
752, 0.502
753, 0.504
754, 0.506
755, 0.508
756, 0.51
757, 0.512
758, 0.514
759, 0.516
760, 0.518
761, 0.52
762, 0.522
763, 0.524
764, 0.526
765, 0.528
766, 0.53
767, 0.532
768, 0.534
769, 0.536
770, 0.538
771, 0.54
772, 0.542
773, 0.544
774, 0.546
775, 0.548
776, 0.55
777, 0.552
778, 0.554
779, 0.556
780, 0.558
781, 0.56
782, 0.562
783, 0.564
784, 0.566
785, 0.568
786, 0.57
787, 0.572
788, 0.574
789, 0.576
790, 0.578
791, 0.58
792, 0.582
793, 0.584
794, 0.586
795, 0.588
796, 0.59
797, 0.592
798, 0.594
799, 0.596
800, 0.598
801, 0.6
802, 0.602
803, 0.604
804, 0.606
805, 0.608
806, 0.61
807, 0.612
808, 0.614
809, 0.616
810, 0.618
811, 0.62
812, 0.622
813, 0.624
814, 0.626
815, 0.628
816, 0.63
817, 0.632
818, 0.634
819, 0.636
820, 0.638
821, 0.64
822, 0.642
823, 0.644
824, 0.646
825, 0.648
826, 0.65
827, 0.652
828, 0.654
829, 0.656
830, 0.658
831, 0.66
832, 0.662
833, 0.664
834, 0.666
835, 0.668
836, 0.67
837, 0.672
838, 0.674
839, 0.676
840, 0.678
841, 0.68
842, 0.682
843, 0.684
844, 0.686
845, 0.688
846, 0.69
847, 0.692
848, 0.694
849, 0.696
850, 0.698
851, 0.7
852, 0.702
853, 0.704
854, 0.706
855, 0.708
856, 0.71
857, 0.712
858, 0.714
859, 0.716
860, 0.718
861, 0.72
862, 0.722
863, 0.724
864, 0.726
865, 0.728
866, 0.73
867, 0.732
868, 0.734
869, 0.736
870, 0.738
871, 0.74
872, 0.742
873, 0.744
874, 0.746
875, 0.748
876, 0.75
877, 0.752
878, 0.754
879, 0.756
880, 0.758
881, 0.76
882, 0.762
883, 0.764
884, 0.766
885, 0.768
886, 0.77
887, 0.772
888, 0.774
889, 0.776
890, 0.778
891, 0.78
892, 0.782
893, 0.784
894, 0.786
895, 0.788
896, 0.79
897, 0.792
898, 0.794
899, 0.796
900, 0.798
901, 0.8
902, 0.802
903, 0.804
904, 0.806
905, 0.808
906, 0.81
907, 0.812
908, 0.814
909, 0.816
910, 0.818
911, 0.82
912, 0.822
913, 0.824
914, 0.826
915, 0.828
916, 0.83
917, 0.832
918, 0.834
919, 0.836
920, 0.838
921, 0.84
922, 0.842
923, 0.844
924, 0.846
925, 0.848
926, 0.85
927, 0.852
928, 0.854
929, 0.856
930, 0.858
931, 0.86
932, 0.862
933, 0.864
934, 0.866
935, 0.868
936, 0.87
937, 0.872
938, 0.874
939, 0.876
940, 0.878
941, 0.88
942, 0.882
943, 0.884
944, 0.886
945, 0.888
946, 0.89
947, 0.892
948, 0.894
949, 0.896
950, 0.898
951, 0.9
952, 0.902
953, 0.904
954, 0.906
955, 0.908
956, 0.91
957, 0.912
958, 0.914
959, 0.916
960, 0.918
961, 0.92
962, 0.922
963, 0.924
964, 0.926
965, 0.928
966, 0.93
967, 0.932
968, 0.934
969, 0.936
970, 0.938
971, 0.94
972, 0.942
973, 0.944
974, 0.946
975, 0.948
976, 0.95
977, 0.952
978, 0.954
979, 0.956
980, 0.958
981, 0.96
982, 0.962
983, 0.964
984, 0.966
985, 0.968
986, 0.97
987, 0.972
988, 0.974
989, 0.976
990, 0.978
991, 0.98
992, 0.982
993, 0.984
994, 0.986
995, 0.988
996, 0.99
997, 0.992
998, 0.994
999, 0.996
1000, 0.998
1001, -1
1002, -0.998
1003, -0.996
1004, -0.994
1005, -0.992
1006, -0.99
1007, -0.988
1008, -0.986
1009, -0.984
1010, -0.982
1011, -0.98
1012, -0.978
1013, -0.976
1014, -0.974
1015, -0.972
1016, -0.97
1017, -0.968
1018, -0.966
1019, -0.964
1020, -0.962
1021, -0.96
1022, -0.958
1023, -0.956
1024, -0.954
1025, -0.952
1026, -0.95
1027, -0.948
1028, -0.946
1029, -0.944
1030, -0.942
1031, -0.94
1032, -0.938
1033, -0.936
1034, -0.934
1035, -0.932
1036, -0.93
1037, -0.928
1038, -0.926
1039, -0.924
1040, -0.922
1041, -0.92
1042, -0.918
1043, -0.916
1044, -0.914
1045, -0.912
1046, -0.91
1047, -0.908
1048, -0.906
1049, -0.904
1050, -0.902
1051, -0.9
1052, -0.898
1053, -0.896
1054, -0.894
1055, -0.892
1056, -0.89
1057, -0.888
1058, -0.886
1059, -0.884
1060, -0.882
1061, -0.88
1062, -0.878
1063, -0.876
1064, -0.874
1065, -0.872
1066, -0.87
1067, -0.868
1068, -0.866
1069, -0.864
1070, -0.862
1071, -0.86
1072, -0.858
1073, -0.856
1074, -0.854
1075, -0.852
1076, -0.85
1077, -0.848
1078, -0.846
1079, -0.844
1080, -0.842
1081, -0.84
1082, -0.838
1083, -0.836
1084, -0.834
1085, -0.832
1086, -0.83
1087, -0.828
1088, -0.826
1089, -0.824
1090, -0.822
1091, -0.82
1092, -0.818
1093, -0.816
1094, -0.814
1095, -0.812
1096, -0.81
1097, -0.808
1098, -0.806
1099, -0.804
1100, -0.802
1101, -0.8
1102, -0.798
1103, -0.796
1104, -0.794
1105, -0.792
1106, -0.79
1107, -0.788
1108, -0.786
1109, -0.784
1110, -0.782
1111, -0.78
1112, -0.778
1113, -0.776
1114, -0.774
1115, -0.772
1116, -0.77
1117, -0.768
1118, -0.766
1119, -0.764
1120, -0.762
1121, -0.76
1122, -0.758
1123, -0.756
1124, -0.754
1125, -0.752
1126, -0.75
1127, -0.748
1128, -0.746
1129, -0.744
1130, -0.742
1131, -0.74
1132, -0.738
1133, -0.736
1134, -0.734
1135, -0.732
1136, -0.73
1137, -0.728
1138, -0.726
1139, -0.724
1140, -0.722
1141, -0.72
1142, -0.718
1143, -0.716
1144, -0.714
1145, -0.712
1146, -0.71
1147, -0.708
1148, -0.706
1149, -0.704
1150, -0.702
1151, -0.7
1152, -0.698
1153, -0.696
1154, -0.694
1155, -0.692
1156, -0.69
1157, -0.688
1158, -0.686
1159, -0.684
1160, -0.682
1161, -0.68
1162, -0.678
1163, -0.676
1164, -0.674
1165, -0.672
1166, -0.67
1167, -0.668
1168, -0.666
1169, -0.664
1170, -0.662
1171, -0.66
1172, -0.658
1173, -0.656
1174, -0.654
1175, -0.652
1176, -0.65
1177, -0.648
1178, -0.646
1179, -0.644
1180, -0.642
1181, -0.64
1182, -0.638
1183, -0.636
1184, -0.634
1185, -0.632
1186, -0.63
1187, -0.628
1188, -0.626
1189, -0.624
1190, -0.622
1191, -0.62
1192, -0.618
1193, -0.616
1194, -0.614
1195, -0.612
1196, -0.61
1197, -0.608
1198, -0.606
1199, -0.604
1200, -0.602
1201, -0.6
